date_local,time_local,datetime_utc,temp_c,source
2025-10-27,18:00,2025-10-27T17:00:00Z,13.5,AEMET_ult24h
2025-10-27,19:00,2025-10-27T18:00:00Z,10.2,AEMET_ult24h
2025-10-27,20:00,2025-10-27T19:00:00Z,9.0,AEMET_ult24h
2025-10-27,21:00,2025-10-27T20:00:00Z,7.7,AEMET_ult24h
2025-10-27,22:00,2025-10-27T21:00:00Z,6.1,AEMET_ult24h
2025-10-27,23:00,2025-10-27T22:00:00Z,4.5,AEMET_ult24h
2025-10-28,00:00,2025-10-27T23:00:00Z,3.9,AEMET_ult24h
2025-10-28,01:00,2025-10-28T00:00:00Z,2.4,AEMET_ult24h
2025-10-28,02:00,2025-10-28T01:00:00Z,2.5,AEMET_ult24h
2025-10-28,03:00,2025-10-28T02:00:00Z,4.6,AEMET_ult24h
2025-10-28,04:00,2025-10-28T03:00:00Z,5.1,AEMET_ult24h
2025-10-28,05:00,2025-10-28T04:00:00Z,5.3,AEMET_ult24h
2025-10-28,06:00,2025-10-28T05:00:00Z,5.6,AEMET_ult24h
2025-10-28,07:00,2025-10-28T06:00:00Z,5.2,AEMET_ult24h
2025-10-28,08:00,2025-10-28T07:00:00Z,5.1,AEMET_ult24h
2025-10-28,09:00,2025-10-28T08:00:00Z,4.8,AEMET_ult24h
2025-10-28,10:00,2025-10-28T09:00:00Z,5.7,AEMET_ult24h
2025-10-28,11:00,2025-10-28T10:00:00Z,6.8,AEMET_ult24h
2025-10-28,12:00,2025-10-28T11:00:00Z,9.6,AEMET_ult24h
2025-10-28,13:00,2025-10-28T12:00:00Z,13.3,AEMET_ult24h
2025-10-28,14:00,2025-10-28T13:00:00Z,17.8,AEMET_ult24h
2025-10-28,15:00,2025-10-28T14:00:00Z,21.1,AEMET_ult24h
2025-10-28,16:00,2025-10-28T15:00:00Z,21.6,AEMET_ult24h
2025-10-28,17:00,2025-10-28T16:00:00Z,21.1,AEMET_ult24h
